"local_identifier","date","timestamp","location_long","location_lat","locationsPerDay","net_displacement","max_displecement","total_distance","avgFlight_heightAGL","sdFlight_heightAGL","flight_time","maxFlight_speed","avgFlight_speed","sdFlight_speed","setOffTimeMinute","returnBeforesunsetMinute","numberOfFlighetSegments","avgSegmentDistance","sdSegmentDistance","avgSegmentTime","sdSegmentTime","released_wild","GroundASL","origin","age_release","days_acclim","status","pre_2020","group_release","day_one","day_ten","timefromday1","season","death_date","days_to_death","max_deltaHeight0","repeat.","max_temp","median_temp","deltaHeight0_75","deltaHeight0_50","age_class","net_km","max_km","totdiskm","maxspeedkm","avgspeedkm","avgsegkm","avgseghr","setOffhr","returnhr","flightHr","dayFromDayOne","n_days"
"E10w",2022-06-18,2022-06-18 03:14:29,34.7672996520996,30.828857421875,78,5924.46013644778,27343.2015505638,131329.436641356,283,194.17346196979,278.5,25.2777777777778,12.6884920634921,4.43288979715859,234.566666666667,153.95,6,16701.9009664782,30504.928860661,28.3961538461538,47.9593426688539,"wild",415,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,5,"summer",2021,NA,862,"4",41,36,168.5,52,"subadult",5.92446013644778,27.3432015505638,131.329436641356,91,45.6785714285714,16.7019009664782,0.473269230769231,3.90944444444444,2.56583333333333,4.64166666666667,"5",9
"E10w",2022-06-19,2022-06-19 03:14:34,34.8280220031738,30.8167781829834,79,82395.4546131357,89444.1065098784,161248.508372324,342.454545454545,278.658851791609,318.783333333333,21.3888888888889,13.4175084175084,4.44850338120419,35.6,234.25,3.5,32980.2266522674,50665.099326826,55.6601265822785,79.780784206576,"wild",441,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,6,"summer",2021,NA,1356,"4",45,37,292,226,"subadult",82.3954546131358,89.4441065098784,161.248508372324,77,48.3030303030303,32.9802266522674,0.927668776371308,0.593333333333333,3.90416666666667,5.31305555555556,"6",9
"E10w",2022-06-20,2022-06-20 03:10:40,35.3679428100586,31.406156539917,80,83697.4081159167,83830.8278478792,131580.154489796,442.038461538462,217.04736455792,260.116666666667,22.5,13.1944444444444,4.55301419628854,194.683333333333,196.916666666667,2,40277.0238867698,56191.4615329533,78.2614583333333,116.544656471827,"wild",-154,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,7,"summer",2021,NA,1407,"4",42,35,785.25,357.5,"subadult",83.6974081159167,83.8308278478792,131.580154489796,81,47.5,40.2770238867698,1.30435763888889,3.24472222222222,3.28194444444444,4.33527777777778,"7",9
"E10w",2022-06-21,2022-06-21 03:14:40,34.8233337402344,30.8294372558594,79,5411.78509385208,30468.0811964627,156762.918153279,424.852941176471,270.831954199149,338.9,32.7777777777778,12.8513071895425,6.32962146215242,65.0666666666667,114.083333333333,7,15704.9619903446,18748.9279580907,32.5658227848101,42.9665802100685,"wild",492,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,8,"summer",2021,NA,1035,"4",46,33,253.5,162,"subadult",5.41178509385208,30.4680811964627,156.762918153279,118,46.2647058823529,15.7049619903446,0.542763713080169,1.08444444444444,1.90138888888889,5.64833333333333,"8",9
"E10w",2022-06-22,2022-06-22 03:13:11,34.8427886962891,30.7919425964355,78,6706.94927118575,31928.7153037174,130922.493805413,381.72,227.635219887726,250.366666666667,21.3888888888889,11.0888888888889,4.36187773398741,193.466666666667,214.916666666667,3,22147.2944662777,31156.9611762951,45.2745726495726,75.3244479457281,"wild",491,"wild",1,NA,"wild","5","5",2022-06-13,2022-06-23,9,"summer",2021,NA,1047,"4",45,36,172.75,86,"subadult",6.70694927118575,31.9287153037174,130.922493805413,77,39.92,22.1472944662777,0.754576210826211,3.22444444444444,3.58194444444444,4.17277777777778,"9",9
"E11w",2022-06-04,2022-06-04 03:13:27,34.8280944824219,30.8170566558838,79,9607.96013485359,27768.2632627747,96537.9538316003,275.260869565217,142.351107985375,229.366666666667,20.8333333333333,12.451690821256,3.54410658073639,63.5833333333333,89.4833333333333,7,7100.00849047095,11501.4055535327,14.5438818565401,25.0947366215611,"wild",441,"wild",1,NA,"wild","2","12",2022-06-04,2022-06-14,0,"summer",2022,NA,469,"4",42,39,131,29,"subadult",9.60796013485359,27.7682632627747,96.5379538316003,75,44.8260869565217,7.10000849047095,0.242398030942335,1.05972222222222,1.49138888888889,3.82277777777778,"0",9
"E11w",2022-06-05,2022-06-05 03:12:58,34.926097869873,30.7493648529053,78,12083.33523806,42528.6060164255,162329.955554271,320.032258064516,188.682004771868,306.7,22.5,12.5179211469534,4.50704494487671,243.133333333333,32.5,3.5,42621.5248349087,61468.8582329952,72.6339743589744,103.620350848534,"wild",413,"wild",1,NA,"wild","2","12",2022-06-04,2022-06-14,1,"summer",2022,NA,1222,"4",41,39,122.75,25.5,"subadult",12.08333523806,42.5286060164255,162.329955554271,81,45.0645161290323,42.6215248349087,1.21056623931624,4.05222222222222,0.541666666666667,5.11166666666667,"1",9
"E11w",2022-06-06,2022-06-06 03:14:31,34.8280029296875,30.8176250457764,79,440.414363977738,20024.2497517967,106769.479407899,320.636363636364,227.722119339259,323.783333333333,25,12.8956228956229,4.64085864650121,54.3833333333333,33.0833333333333,6.5,17177.7416928267,28955.201695574,40.2786919831224,62.7840733325067,"wild",442,"wild",1,NA,"wild","2","12",2022-06-04,2022-06-14,2,"summer",2022,NA,854,"4",43,37,277,107,"subadult",0.440414363977738,20.0242497517967,106.769479407899,90,46.4242424242424,17.1777416928267,0.671311533052039,0.906388888888889,0.551388888888889,5.39638888888889,"2",9
"E11w",2022-06-07,2022-06-07 03:13:21,34.827220916748,30.8165988922119,79,25211.2046060554,93334.8103951537,248196.365420199,467.830188679245,342.802125916185,526.866666666667,21.3888888888889,13.4538784067086,4.22940987187609,224.466666666667,33.6666666666667,2.5,82275.7545721292,64941.3298019621,169.372995780591,130.700983422815,"wild",415,"wild",1,NA,"wild","2","12",2022-06-04,2022-06-14,3,"summer",2022,NA,1335,"4",40,36,290,231,"subadult",25.2112046060554,93.3348103951537,248.196365420199,77,48.4339622641509,82.2757545721292,2.82288326300985,3.74111111111111,0.561111111111111,8.78111111111111,"3",9
"E11w",2022-06-08,2022-06-08 03:12:50,35.0517387390137,30.9314746856689,79,25099.6741333271,40246.6418829971,209234.832100674,363.181818181818,252.786910237289,439.733333333333,25.5555555555556,12.7083333333333,4.243319469541,54.9166666666667,41.2166666666667,7,32078.3183463055,38852.5237798529,60.7729957805907,67.654264436662,"wild",283,"wild",1,NA,"wild","2","12",2022-06-04,2022-06-14,4,"summer",2022,NA,1100,"4",42,37,440.5,188,"subadult",25.0996741333271,40.2466418829971,209.234832100674,92,45.75,32.0783183463055,1.01288326300985,0.915277777777778,0.686944444444444,7.32888888888889,"4",9
